,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_log_reg__C,param_log_reg__penalty,param_tfidf_vectorizer__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.07823481559753417,0.009408003449619142,0.010383176803588866,0.0029290357943026774,0.7,l2,"(1, 1)","{'log_reg__C': 0.7, 'log_reg__penalty': 'l2', 'tfidf_vectorizer__ngram_range': (1, 1)}",0.8036769533814839,0.8023637557452397,0.8181221273801708,0.7943495400788436,0.7956636005256241,0.8028351954222724,0.008462378158478667,6,0.8722495894909688,0.8711001642036125,0.8688013136288998,0.8706287965851256,0.8727630930881629,0.8711085913993539,0.001385139507397054
1,0.24788789749145507,0.062484594520277596,0.019140148162841798,0.0032290650602099487,0.7,l2,"(1, 2)","{'log_reg__C': 0.7, 'log_reg__penalty': 'l2', 'tfidf_vectorizer__ngram_range': (1, 2)}",0.7997373604727511,0.7898883782009193,0.8122127380170716,0.7871222076215506,0.7864651773981604,0.7950851723420906,0.009795061507448603,14,0.8870279146141216,0.8750410509031199,0.8825944170771757,0.8819569857166311,0.8852405187982268,0.8823721774218549,0.0040956186762208645
2,0.394575834274292,0.03444356798368826,0.027801132202148436,0.0041721834883488105,0.7,l2,"(1, 3)","{'log_reg__C': 0.7, 'log_reg__penalty': 'l2', 'tfidf_vectorizer__ngram_range': (1, 3)}",0.7951411687458962,0.7846355876559422,0.8095863427445831,0.78580814717477,0.783180026281209,0.79167025452048,0.009889067486842327,21,0.8881773399014778,0.8804597701149425,0.8830870279146141,0.8857330487604662,0.8868822853390248,0.8848678944061049,0.002769900272616161
3,0.055562829971313475,0.013563038122289811,0.0,0.0,0.7,elasticnet,"(1, 1)","{'log_reg__C': 0.7, 'log_reg__penalty': 'elasticnet', 'tfidf_vectorizer__ngram_range': (1, 1)}",,,,,,,,22,,,,,,,
4,0.13001132011413574,0.007792035954459761,0.0,0.0,0.7,elasticnet,"(1, 2)","{'log_reg__C': 0.7, 'log_reg__penalty': 'elasticnet', 'tfidf_vectorizer__ngram_range': (1, 2)}",,,,,,,,22,,,,,,,
5,0.2112886905670166,0.01673936910701262,0.0,0.0,0.7,elasticnet,"(1, 3)","{'log_reg__C': 0.7, 'log_reg__penalty': 'elasticnet', 'tfidf_vectorizer__ngram_range': (1, 3)}",,,,,,,,22,,,,,,,
6,0.0674675464630127,0.004510354994467252,0.010660314559936523,0.002648511706045358,0.8,l2,"(1, 1)","{'log_reg__C': 0.8, 'log_reg__penalty': 'l2', 'tfidf_vectorizer__ngram_range': (1, 1)}",0.8010505581089954,0.804333552199606,0.8174655285620486,0.7956636005256241,0.7950065703022339,0.8027039619397016,0.008149965455754356,7,0.8781609195402299,0.8766830870279146,0.8765188834154352,0.8762108028238385,0.8790018059431949,0.8773150997501226,0.00107826352374009
7,0.23290538787841797,0.014194729100416895,0.020252180099487305,0.0028110089203878886,0.8,l2,"(1, 2)","{'log_reg__C': 0.8, 'log_reg__penalty': 'l2', 'tfidf_vectorizer__ngram_range': (1, 2)}",0.799080761654629,0.793827971109652,0.8102429415627052,0.7917214191852825,0.7871222076215506,0.7963990602267639,0.007917011964267476,13,0.8955665024630541,0.8901477832512316,0.8921182266009853,0.892135938269578,0.8960761779674931,0.8932089257104684,0.002257911574939284
8,0.3334664344787598,0.03542096375831383,0.028179264068603514,0.004482247945044821,0.8,l2,"(1, 3)","{'log_reg__C': 0.8, 'log_reg__penalty': 'l2', 'tfidf_vectorizer__ngram_range': (1, 3)}",0.7997373604727511,0.7892317793827971,0.8076165462902167,0.7851511169513797,0.783180026281209,0.7929833658756708,0.009287307507474432,20,0.9004926108374385,0.8955665024630541,0.89688013136289,0.8957478246593334,0.9005089476276473,0.8978392033900727,0.0022193223753291438
9,0.047774314880371094,0.006734019330184029,0.0,0.0,0.8,elasticnet,"(1, 1)","{'log_reg__C': 0.8, 'log_reg__penalty': 'elasticnet', 'tfidf_vectorizer__ngram_range': (1, 1)}",,,,,,,,22,,,,,,,
10,0.12090606689453125,0.003968049335699579,0.0,0.0,0.8,elasticnet,"(1, 2)","{'log_reg__C': 0.8, 'log_reg__penalty': 'elasticnet', 'tfidf_vectorizer__ngram_range': (1, 2)}",,,,,,,,22,,,,,,,
11,0.1997812271118164,0.009066622483597327,0.0,0.0,0.8,elasticnet,"(1, 3)","{'log_reg__C': 0.8, 'log_reg__penalty': 'elasticnet', 'tfidf_vectorizer__ngram_range': (1, 3)}",,,,,,,,22,,,,,,,
12,0.07221755981445313,0.0019228890781306726,0.009786224365234375,0.00311267305811109,0.9,l2,"(1, 1)","{'log_reg__C': 0.9, 'log_reg__penalty': 'l2', 'tfidf_vectorizer__ngram_range': (1, 1)}",0.8036769533814839,0.8036769533814839,0.8174655285620486,0.7982917214191853,0.7982917214191853,0.8042805756326773,0.0070186103036844905,5,0.8827586206896552,0.8812807881773399,0.880623973727422,0.8811361024462322,0.88277786898703,0.8817154708055359,0.0008868860277768486
13,0.2130293846130371,0.02206746733867992,0.03049788475036621,0.022041389364894,0.9,l2,"(1, 2)","{'log_reg__C': 0.9, 'log_reg__penalty': 'l2', 'tfidf_vectorizer__ngram_range': (1, 2)}",0.8003939592908733,0.7925147734734077,0.8122127380170716,0.7936925098554534,0.78580814717477,0.7969244255623152,0.008935682602674891,11,0.9013136288998358,0.9,0.8995073891625616,0.901494007552126,0.9037924807092431,0.9012215012647532,0.001491504483430524
